"Kia sonet,2024",31 - 35,Android ,Very often,Native OEM operating system(OS) only,Single screen,Voice Support;Better maps;Reliability & Speed;Better music / media;,Google Maps,Live Traffic data;Voice Search;User Interface;,Spotify;JioSaavn;,Never,Navigation apps;Music apps;Messaging apps;Browser / Internet;Weather apps;,3,4,4,2,2,2,1,1,1,1,Both,Wireless mirroring (AA / CarPlay);Voice assistant;Navigation (Maps);Digital key;Vehicle health monitoring;In-car app store;,Not installed ,Switch to my phone,Kia Connect;,Not enough useful features ;,Very comfortable,Monthly,4,2,5,2,3,5,Somewhat - it matters but isn't the main driver,"Complementary initially, then annual subscription",,,,,,"₹1,000-₹3,000",₹0 - Not willing to pay,₹0 - Not willing to pay,"₹1,000-₹3,000","₹1,000-₹3,000",0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
tata harrier ev 2026,51+,Android ,Very often,Native OEM(OS) + Android Auto & Apple CarPlay,Single screen,Reliability & Speed;Variety of Apps;Voice Support;Better maps;Better music / media;UI/UX;,MapmyIndia,Accuracy & Local roads coverage;,Spotify;,Sometimes,Music apps;Parking apps;Navigation apps;EV charging apps;Messaging apps;,1,1,1,1,1,1,1,1,1,1,Both,Wireless mirroring (AA / CarPlay);OTA software updates;Voice assistant;Navigation (Maps);Remote vehicle controls via app;Digital key;Multi-user profiles;Vehicle health monitoring;EV charging integration;SOS / emergency services;In-car app store;,"Yes, regularly ",Restart the infotainment system,Tata Motors iRA 2.0;Kia Connect;Tesla;,I did not know the app had those features ;,Very comfortable,Only when needed,5,5,5,5,5,5,Somewhat - it matters but isn't the main driver,One-time upfront lifetime unlock,₹10k-15k,₹10k-15k,₹10k-15k,₹10k-15k,₹10k-15k,,,,,,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1
"Vento Diesel AT, 2016",41-50,iOS ,Never,Android Automotive (built -in Google),Single screen,Better music / media;,Google Maps,Live Traffic data;Accuracy & Local roads coverage;Speed limit & Toll Info;,Spotify;YouTube Music;,Sometimes,Navigation apps;Music apps;Weather apps;Parking apps;Browser / Internet;,4,3,2,4,4,2,4,4,4,4,Built-in apps,Voice assistant;Navigation (Maps);Remote vehicle controls via app;Digital key;Multi-user profiles;EV charging integration;SOS / emergency services;Wireless mirroring (AA / CarPlay);Vehicle health monitoring;OTA software updates;,Not installed ,Contact customer care,Hyundai Bluelink;,Not enough useful features ;,Neutral,Quarterly,3,3,4,3,3,4,Yes - it's a primary factor,One-time upfront lifetime unlock,₹0 - Not willing to pay,₹10k-15k,₹10k-15k,₹10k-15k,₹15k-20k,,,,,,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
"EXV 9E, 2025",26 - 30,Android ,Sometimes,Android Automotive (built -in Google),Triple screen,UI/UX;Reliability & Speed;Variety of Apps;Voice Support;Better music / media;it supports BYOD and has OTA;,Google Maps,Accuracy & Local roads coverage;Live Traffic data;User Interface;Offline use;POI search;EV charging Stations;Voice Search;Speed limit & Toll Info;better UX;,Spotify;YouTube Music;Amazon Music;,Sometimes,Navigation apps;Music apps;Weather apps;Parking apps;EV charging apps;,1,1,3,1,1,1,2,2,1,1,Both,Wireless mirroring (AA / CarPlay);OTA software updates;Voice assistant;Navigation (Maps);Remote vehicle controls via app;Digital key;Multi-user profiles;Vehicle health monitoring;EV charging integration;SOS / emergency services;In-car app store;,"Yes, regularly ",Stop using it for the trip,Tesla;Me4U: Mahindra eSUV for You;Rivian;,login issues;,Very comfortable,Half-yearly,5,1,5,5,1,3,Somewhat - it matters but isn't the main driver,One-time upfront lifetime unlock,₹10k-15k,₹10k-15k,₹10k-15k,₹0 - Not willing to pay,₹0 - Not willing to pay,,,,,,1,1,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1
"Tata Nexon,2022",51+,Both equally ,Never,Native OEM(OS) + Android Auto & Apple CarPlay,Single screen,Voice Support;,Google Maps,Speed limit & Toll Info;,FM / radio;,Never,Navigation apps;Weather apps;Parking apps;EV charging apps;Browser / Internet;,3,3,4,4,3,3,4,3,3,3,Smartphone mirroring,In-car app store;,Not installed ,Feature not available,My BMW;Tata Motors iRA 2.0;,I did not know the app had those features ;,Comfortable,I do not want OTA updates,5,5,5,5,5,5,Yes - it's a primary factor,One-time upfront lifetime unlock,₹0 - Not willing to pay,₹0 - Not willing to pay,₹0 - Not willing to pay,₹0 - Not willing to pay,₹0 - Not willing to pay,,,,,,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,1,1,1,1,1,0,0,0,1,0
"Nissan Magnite, 2022",31 - 35,Android ,Very often,Native OEM(OS) + Android Auto,Single screen,Better music / media;,Google Maps,Accuracy & Local roads coverage;Live Traffic data;User Interface;Speed limit & Toll Info;,Spotify;JioSaavn;,Never,Navigation apps;Music apps;News apps;Messaging apps;Weather apps;,4,4,5,5,4,5,3,3,2,5,Both,Voice assistant;Remote vehicle controls via app;Digital key;Vehicle health monitoring;EV charging integration;Navigation (Maps);Wireless mirroring (AA / CarPlay);SOS / emergency services;,Not installed ,Restart the infotainment system,Hyundai Bluelink;Tata Motors iRA 2.0;Zeekr;Nio ET7;,login issues;I did not know the app had those features ;,Comfortable,Yearly,5,5,5,5,5,5,No - I focus on other aspects,One-time upfront lifetime unlock,₹0 - Not willing to pay,₹10k-15k,₹10k-15k,₹0 - Not willing to pay,₹15k-20k,,,,,,1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0
"VW Taigun ,2023",41-50,Android ,Very often,Android Automotive (built -in Google),Single screen,Reliability & Speed;,Google Maps,Accuracy & Local roads coverage;,Spotify;,Very Often,None;Navigation apps;Music apps;Messaging apps;News apps;,5,5,5,5,5,5,5,5,5,5,Both,Voice assistant;,"Yes, occasionally ",Switch to my phone,Tata Motors iRA 2.0;,Not enough useful features ;,Very comfortable,Monthly,5,5,4,5,4,5,Yes - it's a primary factor,"Complementary initially, then annual subscription",,,,,,₹0 - Not willing to pay,₹0 - Not willing to pay,₹0 - Not willing to pay,₹0 - Not willing to pay,₹0 - Not willing to pay,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Suzuki & Honda,36-40,Both equally ,Very often,Native OEM(OS) + Android Auto & Apple CarPlay,Single screen,UI/UX;Variety of Apps;,Google Maps,Accuracy & Local roads coverage;Live Traffic data;,Apple Music;,Sometimes,Music apps;Weather apps;NA;None;Navigation apps;,5,5,5,5,5,5,5,5,5,5,Both,Multi-user profiles;,"Yes, regularly ",Switch to my phone,My BMW;,Poor performance ;login issues;Privacy concerns ;Not enough useful features ;,Very comfortable,Only when needed,5,5,5,5,5,5,No - I focus on other aspects,"Complementary initially, then annual subscription",,,,,,"₹1,000-₹3,000","₹1,000-₹3,000","₹1,000-₹3,000","₹1,000-₹3,000","₹1,000-₹3,000",0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
BE6,26 - 30,Android ,Sometimes,Native OEM operating system(OS) only,Single screen,UI/UX;,MapmyIndia,Accuracy & Local roads coverage;,YouTube Music;,Sometimes,Music apps;Navigation apps;Messaging apps;Parking apps;EV charging apps;,4,3,4,2,3,3,3,3,3,3,Smartphone mirroring,Wireless mirroring (AA / CarPlay);,"Yes, occasionally ",Switch to my phone,Kia Connect;Tesla;,Poor performance ;,Comfortable,Quarterly,4,5,5,5,3,5,Yes - it's a primary factor,"Complementary initially, then annual subscription",,,,,,"₹1,000-₹3,000","₹3,000-₹5,000","₹1,000-₹3,000","₹1,000-₹3,000","₹1,000-₹3,000",0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
"Hyundai Creta, 2025",26 - 30,iOS ,Rarely,Native OEM(OS) + Android Auto & Apple CarPlay,Single screen,UI/UX;Reliability & Speed;Better music / media;Variety of Apps;,Google Maps,Accuracy & Local roads coverage;Live Traffic data;User Interface;,FM / radio;,Never,None;Navigation apps;Music apps;Messaging apps;News apps;,4,4,4,4,5,5,5,5,4,4,Smartphone mirroring,Wireless mirroring (AA / CarPlay);OTA software updates;Voice assistant;Navigation (Maps);Remote vehicle controls via app;Digital key;Multi-user profiles;Vehicle health monitoring;EV charging integration;SOS / emergency services;In-car app store;,"Yes, regularly ",Use physical controls,Hyundai Bluelink;,Poor performance ;,Comfortable,Quarterly,4,4,4,4,4,4,Yes - it's a primary factor,One-time upfront lifetime unlock,₹10k-15k,₹10k-15k,₹10k-15k,₹10k-15k,₹10k-15k,,,,,,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
Kushaq 2023,36-40,iOS ,Very often,Native OEM(OS) + Android Auto & Apple CarPlay,Single screen,Voice Support;Better maps;Reliability & Speed;,Google Maps,Live Traffic data;Voice Search;Speed limit & Toll Info;User Interface;Accuracy & Local roads coverage;,Spotify;FM / radio;,Very Often,Music apps;Navigation apps;Parking apps;Weather apps;Messaging apps;,5,5,5,5,5,5,3,4,5,5,Both,OTA software updates;Voice assistant;Navigation (Maps);Remote vehicle controls via app;Digital key;Multi-user profiles;Vehicle health monitoring;EV charging integration;SOS / emergency services;In-car app store;Wireless mirroring (AA / CarPlay);,"Yes, occasionally ",Restart the infotainment system,Me4U: Mahindra eSUV for You;,Irrelevant notifications ;,Very comfortable,Half-yearly,5,3,5,3,3,5,Somewhat - it matters but isn't the main driver,"Complementary initially, then annual subscription",,,,,,₹0 - Not willing to pay,₹0 - Not willing to pay,"₹3,000-₹5,000",₹0 - Not willing to pay,"₹3,000-₹5,000",0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,1
TATA Nexon 2023,26 - 30,Android ,Very often,Native OEM(OS) + Android Auto & Apple CarPlay,Single screen,Better music / media;Better maps;,Google Maps,Accuracy & Local roads coverage;User Interface;Voice Search;Live Traffic data;,YouTube Music;,Sometimes,Messaging apps;News apps;Music apps;Navigation apps;None;,2,1,3,2,2,2,1,1,3,3,Both,Wireless mirroring (AA / CarPlay);OTA software updates;Voice assistant;Navigation (Maps);Digital key;Vehicle health monitoring;In-car app store;,"Yes, regularly ",Retry the feature,Tata Motors iRA 2.0;,NA;,Comfortable,Quarterly,4,5,5,4,2,2,Yes - it's a primary factor,"Complementary initially, then annual subscription",,,,,,₹0 - Not willing to pay,"₹1,000-₹3,000","₹1,000-₹3,000","₹1,000-₹3,000","₹1,000-₹3,000",1,1,1,0,0,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,1
"2025,Hyundai i20 n line",26 - 30,iOS ,Rarely,Native OEM(OS) + Android Auto & Apple CarPlay,Triple screen,Reliability & Speed;Voice Support;Better maps;Better music / media;,Google Maps,Accuracy & Local roads coverage;Live Traffic data;User Interface;Offline use;Speed limit & Toll Info;,YouTube Music;Spotify;,Sometimes,Navigation apps;Music apps;Messaging apps;News apps;Browser / Internet;,1,2,1,1,1,1,1,1,1,1,Both,Wireless mirroring (AA / CarPlay);Voice assistant;Navigation (Maps);Remote vehicle controls via app;Digital key;Vehicle health monitoring;EV charging integration;SOS / emergency services;,Installed but rarely use ,Retry the feature,My BMW;Me4U: Mahindra eSUV for You;Hyundai Bluelink;,Not enough useful features ;,Neutral,Yearly,3,3,3,3,3,3,Yes - it's a primary factor,One-time upfront lifetime unlock,₹0 - Not willing to pay,₹0 - Not willing to pay,₹0 - Not willing to pay,₹0 - Not willing to pay,₹0 - Not willing to pay,,,,,,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1
"Maruti Suzuki ignis , 2019",31 - 35,Both equally ,Very often,Native OEM(OS) + Android Auto & Apple CarPlay,Single screen,"Reliability & Speed;Basic functions, quick and easy to use;",Google Maps,Accuracy & Local roads coverage;Live Traffic data;User Interface;Offline use;POI search;Voice Search;Speed limit & Toll Info;,YouTube Music;,Never,Music apps;Navigation apps;Messaging apps;News apps;Audio book app;,1,1,2,2,3,3,1,1,1,2,Smartphone mirroring,Wireless mirroring (AA / CarPlay);Voice assistant;SOS / emergency services;Remote vehicle controls via app;,Not installed ,Don?t have connected features in my vehicle ,Tata Motors iRA 2.0;Nio ET7;Kia Connect;,Not enough useful features ;,Very comfortable,Quarterly,3,2,5,5,1,1,Yes - it's a primary factor,"Complementary initially, then annual subscription",,,,,,"₹1,000-₹3,000",₹0 - Not willing to pay,₹0 - Not willing to pay,₹0 - Not willing to pay,₹0 - Not willing to pay,0,0,1,0,0,0,0,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0
Hyundai Exter,41-50,Android ,Very often,Native OEM(OS) + Android Auto,Single screen,Reliability & Speed;Voice Support;,Google Maps,Accuracy & Local roads coverage;Offline use;POI search;EV charging Stations;Speed limit & Toll Info;,YouTube Music;,Never,Navigation apps;News apps;Parking apps;Payments;EV charging apps;,1,1,1,1,1,1,1,1,1,1,Smartphone mirroring,Voice assistant;Navigation (Maps);Remote vehicle controls via app;Digital key;Vehicle health monitoring;SOS / emergency services;,"Yes, occasionally ",Retry the feature,Tata Motors iRA 2.0;,Not enough useful features ;login issues;,Very comfortable,Quarterly,5,4,5,4,4,4,Somewhat - it matters but isn't the main driver,"Complementary initially, then annual subscription",,,,,,"₹3,000-₹5,000","₹3,000-₹5,000","₹3,000-₹5,000","₹3,000-₹5,000","₹3,000-₹5,000",1,1,1,0,0,1,1,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1
Tata Punch,21 - 25,iOS ,Never,Only Phone mirroring via Android Auto / Apple Car Play,Single screen,UI/UX;Variety of Apps;,Google Maps,User Interface;,Spotify;,Never,Navigation apps;Music apps;Parking apps;EV charging apps;Browser / Internet;,3,3,3,3,3,2,3,3,3,3,Built-in apps,Navigation (Maps);,Not installed ,Switch to my phone,Kia Connect;,Poor performance ;login issues;,Neutral,Half-yearly,4,4,3,4,5,4,Somewhat - it matters but isn't the main driver,One-time upfront lifetime unlock,₹10k-15k,₹0 - Not willing to pay,₹10k-15k,₹0 - Not willing to pay,₹0 - Not willing to pay,,,,,,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
MG ZS EV,21 - 25,Android ,Very often,Native OEM(OS) + Android Auto,Full cockpit display system,Variety of Apps;UI/UX;Better maps;,Google Maps,Live Traffic data;Accuracy & Local roads coverage;,YouTube Music;,Very Often,Navigation apps;Music apps;Browser / Internet;Messaging apps;None;,5,5,5,5,3,5,2,5,4,4,Both,Voice assistant;Remote vehicle controls via app;Wireless mirroring (AA / CarPlay);Vehicle health monitoring;OTA software updates;,"Yes, regularly ",Use physical controls,Tata Motors iRA 2.0;My BMW;Hyundai Bluelink;Nio ET7;,login issues;Irrelevant notifications ;Poor performance ;,Neutral,Monthly,5,5,5,3,1,4,Yes - it's a primary factor,One-time upfront lifetime unlock,₹10k-15k,₹10k-15k,₹0 - Not willing to pay,₹0 - Not willing to pay,₹10k-15k,,,,,,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1
TATA PUNCH ACCOMPLISHED PLUS 2025,41-50,Android ,Very often,Native OEM(OS) + Android Auto,Single screen,Better maps;Better music / media;,Google Maps,Accuracy & Local roads coverage;Live Traffic data;,Spotify;,Never,Navigation apps;Music apps;Parking apps;Messaging apps;Weather apps;,2,3,2,2,3,1,1,1,1,1,Smartphone mirroring,Wireless mirroring (AA / CarPlay);OTA software updates;Voice assistant;Navigation (Maps);Multi-user profiles;Vehicle health monitoring;,Not installed ,Contact customer care,Tata Motors iRA 2.0;,I did not know the app had those features ;,Neutral,I do not want OTA updates,5,5,5,5,5,5,Yes - it's a primary factor,One-time upfront lifetime unlock,₹0 - Not willing to pay,₹0 - Not willing to pay,₹0 - Not willing to pay,₹0 - Not willing to pay,₹0 - Not willing to pay,,,,,,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0
"Tata Harrier, 2024",51+,iOS ,Very often,Native OEM(OS) + Apple CarPlay,Dual screen,UI/UX;Reliability & Speed;Better music / media;,Google Maps,User Interface;Accuracy & Local roads coverage;,Spotify;YouTube Music;Amazon Music;,Never,Navigation apps;Music apps;Parking apps;EV charging apps;News apps;,1,1,4,3,1,1,1,1,1,4,Built-in apps,"Wireless mirroring (AA / CarPlay);OTA software updates;Voice assistant;Navigation (Maps);Remote vehicle controls via app;Digital key;Vehicle health monitoring;EV charging integration;SOS / emergency services;In-car app store;Contexutual in car experience - music, ambient lights, ;","Yes, regularly ",Retry the feature,Tata Motors iRA 2.0;Tesla;,Not enough useful features ;,Comfortable,Quarterly,5,2,5,4,5,5,Yes - it's a primary factor,"Complementary initially, then annual subscription",,,,,,"₹1,000-₹3,000","₹3,000-₹5,000","₹3,000-₹5,000","₹3,000-₹5,000","₹3,000-₹5,000",1,1,1,0,0,1,1,1,1,1,0,1,0,1,0,0,1,0,1,1,0,1,0,0,1,1,1
BMW iX1,41-50,iOS ,Very often,Native OEM(OS) + Android Auto & Apple CarPlay,Dual screen,UI/UX;Voice Support;Reliability & Speed;,Google Maps,Accuracy & Local roads coverage;Live Traffic data;,Spotify;,Sometimes,Messaging apps;Music apps;EV charging apps;Navigation apps;Teams;,1,1,1,1,2,1,1,1,2,2,Smartphone mirroring,Wireless mirroring (AA / CarPlay);OTA software updates;Voice assistant;Remote vehicle controls via app;Digital key;Multi-user profiles;Vehicle health monitoring;EV charging integration;,"Yes, regularly ",Not experienced this,My BMW;,NA;,Very comfortable,Only when needed,5,1,5,5,4,1,Yes - it's a primary factor,"Complementary initially, then annual subscription",,,,,,"₹1,000-₹3,000","₹1,000-₹3,000",₹0 - Not willing to pay,"₹1,000-₹3,000","₹3,000-₹5,000",0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1
BMW 330Li 2023,51+,iOS ,Very often,Native OEM(OS) + Android Auto & Apple CarPlay,Full cockpit display system,UI/UX;Better music / media;Reliability & Speed;,Google Maps,Accuracy & Local roads coverage;User Interface;Live Traffic data;,Amazon Music;,Never,Navigation apps;Music apps;Weather apps;Payments;Messaging apps;,1,1,2,2,3,2,1,1,1,1,Built-in apps,Wireless mirroring (AA / CarPlay);Navigation (Maps);Remote vehicle controls via app;Digital key;Multi-user profiles;Vehicle health monitoring;SOS / emergency services;,"Yes, regularly ",Retry the feature,My BMW;Zeekr;Nio ET7;,Not enough useful features ;,Comfortable,Only when needed,3,1,5,3,5,1,Yes - it's a primary factor,One-time upfront lifetime unlock,₹10k-15k,₹10k-15k,₹10k-15k,₹10k-15k,₹0 - Not willing to pay,,,,,,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0
"Ford, Eco Sport, 2016",51+,Android ,Never,Native OEM operating system(OS) only,Single screen,Voice Support;,Google Maps,Accuracy & Local roads coverage;Live Traffic data;,FM / radio;,Never,Navigation apps;Music apps;Messaging apps;News apps;Weather apps;,4,4,4,4,3,4,4,4,3,4,Built-in apps,OTA software updates;Voice assistant;Navigation (Maps);Vehicle health monitoring;EV charging integration;SOS / emergency services;Wireless mirroring (AA / CarPlay);,Not installed ,Stop using it for the trip,Me4U: Mahindra eSUV for You;,I did not know the app had those features ;,Comfortable,Only when needed,5,5,5,4,4,4,Yes - it's a primary factor,One-time upfront lifetime unlock,₹0 - Not willing to pay,₹10k-15k,₹10k-15k,₹0 - Not willing to pay,₹10k-15k,,,,,,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
Suzuki Baleno 2024,41-50,iOS ,Very often,Native OEM(OS) + Android Auto & Apple CarPlay,Dual screen,UI/UX;,Google Maps,Live Traffic data;Accuracy & Local roads coverage;,FM / radio;,Sometimes,Navigation apps;Weather apps;News apps;Messaging apps;Browser / Internet;,1,2,2,2,2,3,2,2,2,4,Smartphone mirroring,Wireless mirroring (AA / CarPlay);OTA software updates;,Not installed ,Switch to my phone,Tata Motors iRA 2.0;,Not enough useful features ;,Very comfortable,Half-yearly,4,4,4,4,4,4,Yes - it's a primary factor,"Complementary initially, then annual subscription",,,,,,"₹1,000-₹3,000","₹1,000-₹3,000","₹1,000-₹3,000",₹0 - Not willing to pay,"₹1,000-₹3,000",1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
"Renault, 2022",41-50,Android ,Very often,Native OEM(OS) + Android Auto,Single screen,Better maps;Voice Support;Variety of Apps;,Google Maps,Accuracy & Local roads coverage;Live Traffic data;poi search is poor ;,YouTube Music;,Never,Messaging apps;Navigation apps;Weather apps;Browser / Internet;EV charging apps;,3,3,2,3,3,2,2,2,2,2,Built-in apps,Wireless mirroring (AA / CarPlay);OTA software updates;Voice assistant;Navigation (Maps);Digital key;In-car app store;SOS / emergency services;Vehicle health monitoring;,Installed but rarely use ,Restart the infotainment system,MyGenesis;,Not enough useful features ;,Neutral,Only when needed,4,2,5,5,4,1,Somewhat - it matters but isn't the main driver,"Complementary initially, then annual subscription",,,,,,₹0 - Not willing to pay,₹0 - Not willing to pay,₹0 - Not willing to pay,₹0 - Not willing to pay,"₹1,000-₹3,000",0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,1,1,0,1,0,0,1,1
